Rule ID,Rule Description,Task Number,Test Object,Alternative Test Object,Test Label,Test Rule Elicitation,Alternative Label,Alternative Rule Elicitation
hg06,An object is labeled 'True' if it is BLU or a CIR.,1,- Size=L Color=BLU Shape=TRI -> True,- Size=M Color=GRN Shape=CIR -> True,True,"
 it is a rectangle (REC) and its color is blue (BLU), regardless of its size.<|eot_id|",False,"
 it is either a small size and blue color, or a large size and blue or green color, or a medium size and blue color, or a small size and yellow color and a circle shape.<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,2,- Size=S Color=YEL Shape=CIR -> True,- Size=M Color=GRN Shape=CIR -> True,True,"
 it is either a small size and a blue color or a medium size and a blue or green color.<|eot_id|",True,"
 it is either a circle (CIR) and its color is blue (BLU) or its size is small (S) and its color is blue (BLU) or its size is large (L) and its color is green (GRN) or yellow (YEL).<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,3,- Size=S Color=GRN Shape=CIR -> True,- Size=M Color=BLU Shape=CIR -> True,True,"
 it is a circle and its color is green or blue.<|eot_id|",True,"
 it is either a circle (CIR) and its size is large (L) or its color is blue (BLU).<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,4,- Size=S Color=GRN Shape=TRI -> False,- Size=S Color=YEL Shape=REC -> False,False,"
 it is a circle and its size is either small or large.<|eot_id|",False,"
 it is a circle and its size is either small or large.<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,5,- Size=M Color=BLU Shape=CIR -> True,- Size=L Color=BLU Shape=REC -> True,True,"
 it is either a small shape that is not a triangle or a large shape that is blue or a circle.<|eot_id|",True,"
 it is either a small shape that is not a triangle or a large rectangle.<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,6,- Size=L Color=GRN Shape=TRI -> False,- Size=M Color=YEL Shape=TRI -> False,False,"
 it is either a small circle (S CIR) or a medium circle (M CIR).<|eot_id|",False,"
 it is either a small circle (S CIR) or a medium circle (M CIR) or a large green circle (L GRN CIR).<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,7,- Size=S Color=YEL Shape=CIR -> True,- Size=L Color=BLU Shape=CIR -> True,False,"
 it is either large (L) and has a color other than yellow (YEL) or it is yellow (YEL) and has a shape other than triangle (TRI) or rectangle (REC).<|eot_id|",True,"
 it is either large (L) and blue (BLU) or large (L) and a circle (CIR).<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,8,- Size=S Color=GRN Shape=CIR -> True,- Size=M Color=GRN Shape=CIR -> True,True,"
 it is a circle and its size is large or small, regardless of the color.<|eot_id|",True,"
 it is a circle and its size is either small or large.<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,9,- Size=L Color=GRN Shape=CIR -> True,- Size=L Color=YEL Shape=CIR -> True,True,"
 it is a circle and its size is large.<|eot_id|",True,"
 it is a circle and its size is either small or large.<|eot_id|"
hg06,An object is labeled 'True' if it is BLU or a CIR.,10,- Size=M Color=GRN Shape=REC -> False,- Size=M Color=YEL Shape=TRI -> False,False,"
 it is either small (S) and yellow (YEL) and a circle (CIR), or small (S) and blue (BLU) and a triangle (TRI), or large (L) and blue (BLU) and a rectangle (REC).<|eot_id|",False,"
 it is either small (S) and yellow (YEL) and circular (CIR), or small (S) and blue (BLU) and triangular (TRI), or large (L) and blue (BLU) and rectangular (REC).<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,1,- Size=L Color=YEL Shape=REC -> False,- Size=S Color=GRN Shape=REC -> False,False,"
 it is either a small size and a green color, or a large size and a blue or yellow color, or a large size and a circle shape, or a medium size and a blue or yellow color and a triangle shape.<|eot_id|",False,"
 it is either a small size and a triangle (S TRI) or a large size and a circle (L CIR).<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,2,- Size=M Color=BLU Shape=CIR -> True,- Size=S Color=YEL Shape=CIR -> True,True,"
 it is a circle and its size is large.<|eot_id|",True,"
 it is a circle and its color is blue or green.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,3,- Size=L Color=YEL Shape=REC -> False,- Size=L Color=BLU Shape=REC -> False,False,"
 it is large and either green or blue, regardless of its shape.<|eot_id|",True,"
 it is large and blue or large and a triangle.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,4,- Size=S Color=YEL Shape=REC -> False,- Size=M Color=GRN Shape=REC -> False,False,"
 it is either a triangle (TRI) and its size is not medium (M), or it is a circle (CIR) and its color is blue (BLU) or green (GRN).<|eot_id|",False,"
 it is either a small size and blue color or a medium size and green color or a large size and yellow color or a small size and a triangle shape.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,5,- Size=S Color=GRN Shape=REC -> False,- Size=S Color=YEL Shape=REC -> False,False,"
 it is either a circle (CIR) and its size is medium (M) or small (S), or it is a triangle (TRI) and its size is small (S) or large (L).<|eot_id|",False,"
 it is either small (S) and yellow (YEL) and a circle (CIR) or small (S) and blue (BLU) and a triangle (TRI) or large (L) and green (GRN) and a triangle (TRI).<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,6,- Size=S Color=BLU Shape=TRI -> True,- Size=L Color=YEL Shape=CIR -> True,True,"
 it is either a triangle (TRI) and its color is blue (BLU) or its size is small (S) and its color is blue (BLU) or its size is large (L) and its color is yellow (YEL) or its size is small (S) an",True,"
 it is either a triangle (TRI) and its color is blue (BLU) or yellow (YEL), or it is a circle (CIR) and its color is green (GRN) or blue (BLU).<|eot_id|"

hg07,An object is labeled 'True' if it is a CIR or a TRI.,7,- Size=S Color=GRN Shape=CIR -> True,- Size=S Color=YEL Shape=TRI -> True,True,"
 it is either a triangle (TRI) and its size is either small (S) or medium (M), or it is a circle (CIR) and its color is green (GRN) or yellow (YEL).<|eot_id|",False,"
 it is either a triangle (TRI) and its size is either small (S) or medium (M), or it is a circle (CIR) regardless of its size or color.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,8,- Size=S Color=BLU Shape=CIR -> True,- Size=L Color=GRN Shape=CIR -> True,True,"
 it is either a circle (CIR) and its size is small (S), or it is a triangle (TRI) regardless of its size or color.<|eot_id|",False,"
 it is either a circle (CIR) and its size is small (S) or its color is blue (BLU), regardless of its size.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,9,- Size=L Color=BLU Shape=TRI -> True,- Size=L Color=YEL Shape=TRI -> True,True,"
 it is either a small shape that is not a rectangle or a green shape.<|eot_id|",False,"
 it is either a small shape that is not a rectangle or a green shape.<|eot_id|"
hg07,An object is labeled 'True' if it is a CIR or a TRI.,10,- Size=L Color=GRN Shape=REC -> False,- Size=M Color=GRN Shape=REC -> False,False,"
 it is either a triangle (TRI) and its size is large (L) or its color is green (GRN) and its size is small (S) or its color is yellow (YEL) and its shape is a circle (CIR).<|eot_id|",False,"
 it is either a triangle (TRI) and its size is large (L) or its color is green (GRN) and its size is small (S) or its color is yellow (YEL) and its shape is a circle (CIR).<|eot_id|"

hg10,An object is labeled 'True' if it is a CIR and not BLU.,1,- Size=L Color=GRN Shape=CIR -> True,- Size=L Color=YEL Shape=CIR -> True,True,"
 it is a circle and its size is large.<|eot_id|",True,"
 it is a circle and its color is green or yellow.<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,2,- Size=L Color=GRN Shape=CIR -> True,- Size=S Color=YEL Shape=CIR -> True,True,"
 it is either small (S) and yellow (YEL) and circular (CIR), or large (L) and green (GRN) and circular (CIR).<|eot_id|",True,"
 it is small (S) and yellow (YEL) and circular (CIR).<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,3,- Size=S Color=BLU Shape=TRI -> False,- Size=L Color=YEL Shape=TRI -> False,False,"
 it is small (S) and green (GRN) and circular (CIR).<|eot_id|",False,"
 it is small (S) and green (GRN) and circular (CIR).<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,4,- Size=M Color=YEL Shape=TRI -> False,- Size=L Color=BLU Shape=REC -> False,True,"
",False,"
 it is either a circle (CIR) and its color is green (GRN) or yellow (YEL), regardless of its size.<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,5,- Size=S Color=YEL Shape=TRI -> False,- Size=L Color=GRN Shape=TRI -> False,False,"
 it is either a small circle (S CIR) or a medium circle (M CIR).<|eot_id|",False,"
 it is either small (S) and green (GRN) and circular (CIR), or medium (M) and yellow (YEL) and circular (CIR).<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,6,- Size=L Color=GRN Shape=CIR -> True,- Size=S Color=YEL Shape=CIR -> True,True,"
 it is a circle and its size is either small or medium.<|eot_id|",True,"
 it is a circle and its size is either small or medium.<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,7,- Size=L Color=YEL Shape=REC -> False,- Size=S Color=GRN Shape=TRI -> False,False,"
 it is either a circle (CIR) and its size is either medium (M) or large (L), or it is a circle (CIR) and its color is green (GRN), or it is a circle (CIR) and its size is small (S) and its color is yello",False,"
 it is either a circle (CIR) and its size is either medium (M) or large (L), or it is a circle (CIR) and its color is yellow (YEL), or it is a circle (CIR) and its color is green (GRN).<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,8,- Size=S Color=YEL Shape=CIR -> True,- Size=M Color=GRN Shape=CIR -> True,True,"
 it is a circle and its size is not large.<|eot_id|",True,"
 it is either a circle (CIR) and its size is either medium (M) or large (L), regardless of the color.<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,9,- Size=S Color=YEL Shape=TRI -> False,- Size=M Color=GRN Shape=TRI -> False,False,"
 it is of size L and color YEL and shape CIR.<|eot_id|",False,"
 it is of size L and color YEL and shape CIR.<|eot_id|"
hg10,An object is labeled 'True' if it is a CIR and not BLU.,10,- Size=L Color=YEL Shape=REC -> False,- Size=M Color=BLU Shape=TRI -> False,False,"
 it is small (S) and its color is yellow (YEL) and its shape is a circle (CIR).<|eot_id|",False,"
 it is a yellow circle (YEL CIR).<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,1,- Size=S Color=YEL Shape=REC -> False,- Size=L Color=BLU Shape=REC -> False,False,"
 it is either blue and has a shape that is not a circle, or it is small and has a shape that is a circle.<|eot_id|",False,"
 it is either small (S) and blue (BLU) and either a circle (CIR) or a rectangle (REC).<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,2,- Size=S Color=BLU Shape=TRI -> True,- Size=S Color=BLU Shape=REC -> True,True,"
 it is small (S) and blue (BLU) and is either a circle (CIR) or a triangle (TRI).<|eot_id|",True,"
 it is small (S) and blue (BLU), regardless of its shape.<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,3,- Size=S Color=YEL Shape=TRI -> False,- Size=M Color=YEL Shape=CIR -> False,True,"
 it is small (S) and blue (BLU), regardless of its shape.<|eot_id|",False,"
 it is small (S) and blue (BLU) and has a shape of either a circle (CIR) or a rectangle (REC).<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,4,- Size=S Color=GRN Shape=REC -> False,- Size=S Color=GRN Shape=CIR -> False,False,"
 it is either a small shape that is blue or a small rectangle.<|eot_id|",False,"
 it is either a small shape that is blue or a small rectangle.<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,5,- Size=L Color=YEL Shape=CIR -> False,- Size=L Color=YEL Shape=TRI -> False,False,"
 it is either a small blue shape or a small rectangle.<|eot_id|",False,"
 it is either a small size and blue color, or a small size and a rectangle shape, or a blue color and a triangle shape.<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,6,- Size=S Color=BLU Shape=TRI -> True,- Size=S Color=BLU Shape=CIR -> True,True,"
 it is small (S) and blue (BLU), regardless of its shape.<|eot_id|",True,"
 it is small (S) and blue (BLU), regardless of its shape.<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,7,- Size=S Color=BLU Shape=CIR -> True,- Size=S Color=BLU Shape=TRI -> True,True,"
 it is small (S) and blue (BLU) and is either a circle (CIR) or a rectangle (REC).<|eot_id|",True,"
 it is a small blue circle.<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,8,- Size=L Color=BLU Shape=CIR -> False,- Size=M Color=BLU Shape=CIR -> False,True,"
 it is small (S) and blue (BLU) and its shape is a circle (CIR).<|eot_id|",True,"
 it is small (S) and blue (BLU) and its shape is either a circle (CIR) or a rectangle (REC).<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,9,- Size=S Color=BLU Shape=REC -> True,- Size=S Color=BLU Shape=CIR -> True,True,"
 it is small (S) and blue (BLU).<|eot_id|",True,"
 it is small (S) and blue (BLU) and is either a circle (CIR) or a rectangle (REC).<|eot_id|"
hg24,An object is labeled 'True' if it is S and BLU.,10,- Size=L Color=YEL Shape=CIR -> False,- Size=M Color=YEL Shape=REC -> False,False,"
 it is either blue and a rectangle or blue and a circle.<|eot_id|",False,"
 it is either blue and a circle or blue and a triangle.<|eot_id|"
