mode,trial_idx,phase,question,true_sum,answer_altered_implied_edited,edit_token_center,patch_window_radius,window_side,token_str_at_window,answer_after_injection,analysis_continuation_after_injection,generated_suffix_raw,parsed_first_int,label
freeze,5,intervention,Add 844 to 340.,1184,1084.0,219,7,both,"[(212, 'Ġ'), (213, '8'), (214, 'Ġ+'), (215, 'Ġ'), (216, '3'), (217, 'Ġ='), (218, 'Ġ'), (219, '11'), (220, ','), (221, 'Ġcarry'), (222, 'Ġ'), (223, '1'), (224, '?'), (225, 'ĠWait'), (226, 'Ġ')]",1184,,<|channel|>final<|message|>1184,1184,matches_true
freeze,6,intervention,Add 392 to 650.,1042,942.0,227,7,both,"[(220, '6'), (221, 'Ġ+'), (222, 'Ġcarry'), (223, 'Ġ'), (224, '1'), (225, 'Ġ='), (226, 'Ġ'), (227, '10'), (228, ','), (229, 'Ġwrite'), (230, 'Ġ'), (231, '0'), (232, ','), (233, 'Ġcarry'), (234, 'Ġ')]",981,,<|channel|>final<|message|>981,981,matches_neither
freeze,7,intervention,Add 808 to 368.,1176,1186.0,211,7,both,"[(204, '6'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, 'Ġ'), (208, '1'), (209, 'Ġ='), (210, 'Ġ'), (211, '7'), (212, '.'), (213, 'ĠHundreds'), (214, ':'), (215, 'Ġ'), (216, '8'), (217, 'Ġ+'), (218, 'Ġ')]",1178,,<|channel|>final<|message|>1178,1178,matches_neither
freeze,8,intervention,Add 943 to 315.,1258,1158.0,214,7,both,"[(207, 'Ġ'), (208, '9'), (209, 'Ġ+'), (210, 'Ġ'), (211, '3'), (212, 'Ġ='), (213, 'Ġ'), (214, '12'), (215, ','), (216, 'Ġcarry'), (217, '?'), (218, 'ĠWait'), (219, 'Ġwe'), (220, 'Ġalready'), (221, 'Ġused')]",1258,,<|channel|>final<|message|>1258,1258,matches_true
freeze,9,intervention,Add 400 to 713.,1113,1213.0,190,7,both,"[(183, 'Ġ'), (184, '7'), (185, 'Ġ+'), (186, 'Ġ'), (187, '4'), (188, 'Ġ='), (189, 'Ġ'), (190, '11'), (191, '.'), (192, '<|end|>'), (193, '<|start|>'), (194, 'assistant')]",1213,,<|channel|>final<|message|>1213,1213,matches_altered
freeze,10,intervention,Add 209 to 779.,988,988.0,211,7,both,"[(204, '7'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, 'Ġ'), (208, '1'), (209, 'Ġ='), (210, 'Ġ'), (211, '8'), (212, '.'), (213, 'ĠHundreds'), (214, ':'), (215, 'Ġ'), (216, '2'), (217, 'Ġ+'), (218, 'Ġ')]",988,,<|channel|>final<|message|>988,988,matches_true
freeze,11,intervention,Add 672 to 884.,1556,1456.0,226,7,both,"[(219, '8'), (220, 'Ġ+'), (221, 'Ġcarry'), (222, 'Ġ'), (223, '1'), (224, 'Ġ='), (225, 'Ġ'), (226, '15'), (227, '.'), (228, 'ĠProvide'), (229, 'Ġfinal'), (230, 'Ġanswer'), (231, 'Ġonly'), (232, '.'), (233, '<|end|>')]",1456,,<|channel|>final<|message|>1456,1456,matches_altered
freeze,12,intervention,Add 934 to 373.,1307,1207.0,198,7,both,"[(191, '9'), (192, '+'), (193, '3'), (194, '+'), (195, 'carry'), (196, '1'), (197, '='), (198, '13'), (199, ','), (200, 'Ġwrite'), (201, 'Ġ'), (202, '3'), (203, 'Ġcarry'), (204, '1'), (205, 'Ġto')]",1307,,<|channel|>final<|message|>1307,1307,matches_true
freeze,13,intervention,Add 111 to 435.,546,556.0,203,7,both,"[(196, 'Ġ'), (197, '1'), (198, 'Ġ+'), (199, 'Ġ'), (200, '3'), (201, 'Ġ='), (202, 'Ġ'), (203, '4'), (204, '.'), (205, 'ĠHundreds'), (206, ':'), (207, 'Ġ'), (208, '1'), (209, 'Ġ+'), (210, 'Ġ')]",546,,<|channel|>final<|message|>546,546,matches_true
freeze,14,intervention,Add 840 to 650.,1490,1390.0,213,7,both,"[(206, 'ĠHundreds'), (207, ':'), (208, 'Ġ'), (209, '8'), (210, '+'), (211, '6'), (212, '='), (213, '14'), (214, ','), (215, 'Ġcarry'), (216, 'Ġ'), (217, '1'), (218, '?'), (219, 'ĠWait'), (220, 'Ġ')]",1490,,<|channel|>commentary<|message|>We need to produce final answer only. The sum is 1490? Wait 840+650=1490? Let's compute: 840+650 = 1490. Yes.<|end|><|start|>assistant<|channel|>final<|message|>1490,1490,matches_true
freeze,15,intervention,Add 408 to 921.,1329,1229.0,214,7,both,"[(207, 'Ġ'), (208, '4'), (209, 'Ġ+'), (210, 'Ġ'), (211, '9'), (212, 'Ġ='), (213, 'Ġ'), (214, '13'), (215, ','), (216, 'Ġcarry'), (217, '?'), (218, 'ĠActually'), (219, 'Ġ'), (220, '4'), (221, '+')]",1323,,<|channel|>final<|message|>1323,1323,matches_neither
freeze,16,intervention,Add 66 to 517.,583,593.0,189,7,both,"[(182, 'Ġ'), (183, '6'), (184, 'Ġ+'), (185, 'Ġcarry'), (186, '1'), (187, 'Ġ='), (188, 'Ġ'), (189, '8'), (190, '.'), (191, 'ĠHundreds'), (192, ':'), (193, 'Ġ'), (194, '5'), (195, 'Ġ+'), (196, 'Ġ')]",583,,<|channel|>final<|message|>583,583,matches_true
freeze,17,intervention,Add 715 to 684.,1399,1299.0,214,7,both,"[(207, 'Ġ'), (208, '7'), (209, 'Ġ+'), (210, 'Ġ'), (211, '6'), (212, 'Ġ='), (213, 'Ġ'), (214, '13'), (215, '.'), (216, '<|end|>'), (217, '<|start|>'), (218, 'assistant')]","1,399",,"<|channel|>final<|message|>1,399",1,matches_neither
freeze,18,intervention,Add 356 to 909.,1265,1275.0,211,7,both,"[(204, '0'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, 'Ġ'), (208, '1'), (209, 'Ġ='), (210, 'Ġ'), (211, '6'), (212, '.'), (213, 'ĠHundreds'), (214, ':'), (215, 'Ġ'), (216, '3'), (217, 'Ġ+'), (218, 'Ġ')]",126,,<|channel|>final<|message|>126,126,matches_neither
freeze,19,intervention,Add 413 to 413.,826,836.0,200,7,both,"[(193, 'ĠTens'), (194, ':'), (195, 'Ġ'), (196, '1'), (197, '+'), (198, '1'), (199, '='), (200, '2'), (201, '.'), (202, 'ĠHundreds'), (203, ':'), (204, 'Ġ'), (205, '4'), (206, '+'), (207, '4')]",826,,<|channel|>final<|message|>826,826,matches_true
freeze,20,intervention,Add 820 to 755.,1575,1475.0,219,7,both,"[(212, 'Ġ'), (213, '8'), (214, 'Ġ+'), (215, 'Ġ'), (216, '7'), (217, 'Ġ='), (218, 'Ġ'), (219, '15'), (220, ','), (221, 'Ġcarry'), (222, 'Ġ'), (223, '1'), (224, '?'), (225, 'ĠWait'), (226, 'Ġ')]",1525,,<|channel|>commentary to=assistant<|channel|>final<|message|>1525,1525,matches_neither
freeze,21,intervention,Add 819 to 318.,1137,1147.0,278,7,both,"[(271, '1'), (272, 'Ġ+'), (273, 'Ġcarry'), (274, 'Ġ'), (275, '1'), (276, 'Ġ='), (277, 'Ġ'), (278, '3'), (279, '.'), (280, 'ĠWrite'), (281, 'Ġ'), (282, '3'), (283, ','), (284, 'Ġcarry'), (285, 'Ġ')]",1137,,<|channel|>final<|message|>1137,1137,matches_true
freeze,22,intervention,Add 679 to 18.,697,696.0,189,7,both,"[(182, 'Ġ'), (183, '9'), (184, 'Ġ+'), (185, 'Ġ'), (186, '8'), (187, 'Ġ='), (188, 'Ġ'), (189, '17'), (190, ','), (191, 'Ġwrite'), (192, 'Ġ'), (193, '7'), (194, 'Ġcarry'), (195, 'Ġ'), (196, '1')]",695,,<|channel|>final<|message|>695,695,matches_neither
freeze,23,intervention,Add 852 to 361.,1213,1113.0,227,7,both,"[(220, '3'), (221, 'Ġ+'), (222, 'Ġcarry'), (223, 'Ġ'), (224, '1'), (225, 'Ġ='), (226, 'Ġ'), (227, '12'), (228, '.'), (229, 'ĠWait'), (230, 'Ġ'), (231, '8'), (232, '+'), (233, '3'), (234, '=')]",1133,,<|channel|>final<|message|>1133,1133,matches_neither
freeze,24,intervention,Add 608 to 121.,729,739.0,203,7,both,"[(196, 'Ġ'), (197, '0'), (198, 'Ġ+'), (199, 'Ġ'), (200, '2'), (201, 'Ġ='), (202, 'Ġ'), (203, '2'), (204, '.'), (205, 'ĠHundreds'), (206, ':'), (207, 'Ġ'), (208, '6'), (209, 'Ġ+'), (210, 'Ġ')]",729,,<|channel|>final<|message|>729,729,matches_true
freeze,25,intervention,Add 471 to 252.,723,733.0,207,7,both,"[(200, '5'), (201, 'Ġ='), (202, 'Ġ'), (203, '12'), (204, ','), (205, 'Ġwrite'), (206, 'Ġ'), (207, '2'), (208, 'Ġcarry'), (209, 'Ġ'), (210, '1'), (211, '.'), (212, 'ĠHundreds'), (213, ':'), (214, 'Ġ')]",723,,<|channel|>final<|message|>723,723,matches_true
freeze,26,intervention,Add 980 to 175.,1155,1055.0,227,7,both,"[(220, '1'), (221, 'Ġ+'), (222, 'Ġcarry'), (223, 'Ġ'), (224, '1'), (225, 'Ġ='), (226, 'Ġ'), (227, '11'), (228, ','), (229, 'Ġwrite'), (230, 'Ġ'), (231, '1'), (232, ','), (233, 'Ġcarry'), (234, 'Ġ')]","1,155",,"<|channel|>final<|message|>1,155",1,matches_neither
freeze,27,intervention,Add 814 to 872.,1686,1586.0,214,7,both,"[(207, 'Ġ'), (208, '8'), (209, 'Ġ+'), (210, 'Ġ'), (211, '8'), (212, 'Ġ='), (213, 'Ġ'), (214, '16'), (215, ','), (216, 'Ġcarry'), (217, 'Ġ'), (218, '1'), (219, '?'), (220, 'ĠWait'), (221, 'Ġwe')]",1626,,<|channel|>final<|message|>1626,1626,matches_neither
freeze,28,intervention,Add 321 to 695.,1016,1116.0,226,7,both,"[(219, '6'), (220, 'Ġ+'), (221, 'Ġcarry'), (222, 'Ġ'), (223, '1'), (224, 'Ġ='), (225, 'Ġ'), (226, '10'), (227, '.'), (228, '<|end|>'), (229, '<|start|>'), (230, 'assistant')]",1126,,<|channel|>final<|message|>1126,1126,matches_neither
freeze,29,intervention,Add 707 to 943.,1650,1660.0,211,7,both,"[(204, '4'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, 'Ġ'), (208, '1'), (209, 'Ġ='), (210, 'Ġ'), (211, '5'), (212, '.'), (213, 'ĠHundreds'), (214, ':'), (215, 'Ġ'), (216, '7'), (217, 'Ġ+'), (218, 'Ġ')]",1610,,<|channel|>final<|message|>1610,1610,matches_neither
freeze,30,intervention,Add 937 to 619.,1556,1555.0,189,7,both,"[(182, 'Ġ'), (183, '7'), (184, 'Ġ+'), (185, 'Ġ'), (186, '9'), (187, 'Ġ='), (188, 'Ġ'), (189, '16'), (190, ','), (191, 'Ġwrite'), (192, 'Ġ'), (193, '6'), (194, 'Ġcarry'), (195, 'Ġ'), (196, '1')]",1556,,<|channel|>final<|message|>1556,1556,matches_true
freeze,31,intervention,Add 468 to 617.,1085,1185.0,222,7,both,"[(215, '+'), (216, '6'), (217, '='), (218, '10'), (219, 'Ġplus'), (220, 'Ġcarry'), (221, 'Ġ'), (222, '0'), (223, '?'), (224, 'ĠWait'), (225, 'Ġwe'), (226, 'Ġhad'), (227, 'Ġcarry'), (228, 'Ġ'), (229, '0')]","<|channel|>commentary<|message|>We need to be careful: 468 + 617. Write them:

  468
+ 617
-----

Units: 8 + 7 = 15. Write 5, carry 1.

Tens: 6 + 1 = 7. Add carry 1 => 8. Write 8, carry 0.

Hundreds: 4 + 6 = 10. Add carry 0 => 10. Write 0, carry 1.

Result: 1085? Wait we have 4-digit result: 1 0 8 5. So",,"<|channel|>commentary<|message|>We need to be careful: 468 + 617. Write them:\n\n  468\n+ 617\n-----\n\nUnits: 8 + 7 = 15. Write 5, carry 1.\n\nTens: 6 + 1 = 7. Add carry 1 => 8. Write 8, carry 0.\n\nHundreds: 4 + 6 = 10. Add carry 0 => 10. Write 0, carry 1.\n\nResult: 1085? Wait we have 4-digit result: 1 0 8 5. So ",468,matches_neither
freeze,32,intervention,Add 271 to 823.,1094,1194.0,214,7,both,"[(207, 'Ġ'), (208, '2'), (209, 'Ġ+'), (210, 'Ġ'), (211, '8'), (212, 'Ġ='), (213, 'Ġ'), (214, '10'), (215, '.'), (216, 'ĠWait'), (217, 'Ġ'), (218, '2'), (219, '+'), (220, '8'), (221, '=')]",1094,,<|channel|>final<|message|>1094,1094,matches_true
freeze,33,intervention,Add 205 to 560.,765,865.0,217,7,both,"[(210, 'Ġ'), (211, '2'), (212, 'Ġ+'), (213, 'Ġ'), (214, '5'), (215, 'Ġ='), (216, 'Ġ'), (217, '7'), (218, '.'), (219, '<|end|>'), (220, '<|start|>'), (221, 'assistant')]",765,,<|channel|>final<|message|>765,765,matches_true
freeze,34,intervention,Add 68 to 653.,721,731.0,216,7,both,"[(209, 'Ġ'), (210, '5'), (211, 'Ġ+'), (212, 'Ġcarry'), (213, '1'), (214, 'Ġ='), (215, 'Ġ'), (216, '12'), (217, ','), (218, 'Ġwrite'), (219, 'Ġ'), (220, '2'), (221, 'Ġcarry'), (222, '1'), (223, '.')]",735,,<|channel|>final<|message|>735,735,matches_neither
freeze,35,intervention,Add 538 to 992.,1530,1520.0,210,7,both,"[(203, 'Ġ'), (204, '9'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, '1'), (208, 'Ġ='), (209, 'Ġ'), (210, '13'), (211, ','), (212, 'Ġwrite'), (213, 'Ġ'), (214, '3'), (215, 'Ġcarry'), (216, '1'), (217, '.')]",1530,,<|channel|>final<|message|>1530,1530,matches_true
freeze,36,intervention,Add 633 to 993.,1626,nan,146,7,both,"[(139, '.'), (140, '<|end|>'), (141, '<|start|>'), (142, 'assistant'), (143, '<|channel|>'), (144, 'analysis'), (145, '<|message|>'), (146, 'nan'), (147, '<|end|>'), (148, '<|start|>'), (149, 'assistant')]",1626,,<|channel|>final<|message|>1626,1626,matches_true
freeze,37,intervention,Add 591 to 792.,1383,1283.0,226,7,both,"[(219, '7'), (220, 'Ġ+'), (221, 'Ġcarry'), (222, 'Ġ'), (223, '1'), (224, 'Ġ='), (225, 'Ġ'), (226, '13'), (227, '.'), (228, 'Ġ'), (229, 'ĠWait'), (230, 'Ġ'), (231, '5'), (232, '+'), (233, '7')]","1,383",,"<|channel|>final<|message|>1,383",1,matches_neither
freeze,38,intervention,Add 44 to 73.,117,107.0,202,7,both,"[(195, 'Ġ'), (196, '4'), (197, 'Ġ+'), (198, 'Ġ'), (199, '7'), (200, 'Ġ='), (201, 'Ġ'), (202, '11'), (203, ','), (204, 'Ġcarry'), (205, 'Ġ'), (206, '1'), (207, '?'), (208, 'ĠWait'), (209, 'Ġ')]",101,,<|channel|>final<|message|>101,101,matches_neither
freeze,39,intervention,Add 417 to 985.,1402,1302.0,230,7,both,"[(223, 'Ġ'), (224, '9'), (225, 'Ġ+'), (226, 'Ġcarry'), (227, '1'), (228, 'Ġ='), (229, 'Ġ'), (230, '14'), (231, ','), (232, 'Ġwrite'), (233, 'Ġ'), (234, '4'), (235, 'Ġcarry'), (236, '1'), (237, '?')]",1412,,<|channel|>final<|message|>1412,1412,matches_neither
freeze,40,intervention,Add 668 to 923.,1591,1581.0,210,7,both,"[(203, 'Ġ'), (204, '2'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, '1'), (208, 'Ġ='), (209, 'Ġ'), (210, '9'), (211, '.'), (212, 'ĠHundreds'), (213, ':'), (214, 'Ġ'), (215, '6'), (216, 'Ġ+'), (217, 'Ġ')]",1583,,<|channel|>final<|message|>1583,1583,matches_neither
freeze,41,intervention,Add 634 to 55.,689,679.0,226,7,both,"[(219, 'Ġ'), (220, '3'), (221, 'Ġ+'), (222, 'Ġ'), (223, '5'), (224, 'Ġ='), (225, 'Ġ'), (226, '8'), (227, '.'), (228, 'ĠHundreds'), (229, ':'), (230, 'Ġ'), (231, '6'), (232, 'Ġ+'), (233, 'Ġ')]",689,,<|channel|>final<|message|>689,689,matches_true
freeze,42,intervention,Add 691 to 17.,708,718.0,218,7,both,"[(211, 'Ġ'), (212, '9'), (213, 'Ġ+'), (214, 'Ġ'), (215, '1'), (216, 'Ġ='), (217, 'Ġ'), (218, '10'), (219, ','), (220, 'Ġwrite'), (221, 'Ġ'), (222, '0'), (223, 'Ġcarry'), (224, 'Ġ'), (225, '1')]",708,,<|channel|>final<|message|>708,708,matches_true
freeze,43,intervention,Add 650 to 201.,851,861.0,204,7,both,"[(197, 'Ġ'), (198, '5'), (199, 'Ġ+'), (200, 'Ġ'), (201, '0'), (202, 'Ġ='), (203, 'Ġ'), (204, '5'), (205, '.'), (206, 'ĠHundreds'), (207, ':'), (208, 'Ġ'), (209, '6'), (210, 'Ġ+'), (211, 'Ġ')]",851,,<|channel|>final<|message|>851,851,matches_true
freeze,44,intervention,Add 201 to 107.,308,408.0,214,7,both,"[(207, 'Ġ'), (208, '2'), (209, 'Ġ+'), (210, 'Ġ'), (211, '1'), (212, 'Ġ='), (213, 'Ġ'), (214, '3'), (215, '.'), (216, '<|end|>'), (217, '<|start|>'), (218, 'assistant')]",308,,<|channel|>final<|message|>308,308,matches_true
freeze,45,intervention,Add 291 to 201.,492,482.0,204,7,both,"[(197, '9'), (198, 'Ġ+'), (199, 'Ġ'), (200, '0'), (201, 'Ġ='), (202, 'Ġ'), (203, '9'), (204, '.'), (205, 'ĠHundreds'), (206, ':'), (207, 'Ġ'), (208, '2'), (209, 'Ġ+'), (210, 'Ġ'), (211, '2')]",492,,<|channel|>final<|message|>492,492,matches_true
freeze,46,intervention,Add 463 to 767.,1230,1130.0,230,7,both,"[(223, 'Ġ'), (224, '7'), (225, 'Ġ+'), (226, 'Ġcarry'), (227, '1'), (228, 'Ġ='), (229, 'Ġ'), (230, '12'), (231, ','), (232, 'Ġwrite'), (233, 'Ġ'), (234, '12'), (235, '.'), (236, '<|end|>'), (237, '<|start|>')]",1230,,<|channel|>final<|message|>1230,1230,matches_true
freeze,47,intervention,Add 938 to 817.,1755,1765.0,211,7,both,"[(204, '1'), (205, 'Ġ+'), (206, 'Ġcarry'), (207, 'Ġ'), (208, '1'), (209, 'Ġ='), (210, 'Ġ'), (211, '5'), (212, '.'), (213, 'ĠHundreds'), (214, ':'), (215, 'Ġ'), (216, '9'), (217, 'Ġ+'), (218, 'Ġ')]",1758,,<|channel|>final<|message|>1758,1758,matches_neither
freeze,48,intervention,Add 582 to 321.,903,803.0,216,7,both,"[(209, 'ĠHundreds'), (210, ':'), (211, 'Ġ'), (212, '5'), (213, '+'), (214, '3'), (215, '='), (216, '8'), (217, 'Ġplus'), (218, 'Ġcarry'), (219, 'Ġ'), (220, '1'), (221, 'Ġ='), (222, '9'), (223, '.')]",803,,<|channel|>final<|message|>803,803,matches_altered
freeze,49,intervention,Add 12 to 814.,826,836.0,182,7,both,"[(175, 'Ġ'), (176, '1'), (177, 'Ġ+'), (178, 'Ġ'), (179, '1'), (180, 'Ġ='), (181, 'Ġ'), (182, '2'), (183, '.'), (184, 'ĠHundreds'), (185, ':'), (186, 'Ġ'), (187, '8'), (188, 'Ġ+'), (189, 'Ġ')]",826,,<|channel|>final<|message|>826,826,matches_true
